source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;Коммутатор SDS-G3006-4PoE-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6164248;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006-4poe-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-G3010-8PoE-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6164249;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3010-8poe-2gtxsfp/
nnz-ipc.ru;Коммутатор SDS-G3010-8PoE-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6164250;;;https://nnz-ipc.ru/images/cms/thumbs/736d5d1a7d9ebdac4b2137e184100165c3762290/08de2ad8985d11efb91f00155d50c111_6188b8c89c1e11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3010-8poe-2gtxsfp-t/
nnz-ipc.ru;Коммутатор EDS-P206A-4PoE;Коммутатор 2 x 10/100BaseTX, 4 x PoE+ 10/100BaseTX;6049512;;;https://nnz-ipc.ru/images/cms/thumbs/eaa6cd063508a79a5c6ee652e19a837f5a24c4d9/e66d61d2a5d511e3908100155d0c1500_87deb4f6651411eab88800155d50c701_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/poe/eds-p206a-4poe/
nnz-ipc.ru;Маршрутизатор EDR-810-VPN-2GSFP;Промышленный маршрутизатор: 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT/VPN;6084709;;;https://nnz-ipc.ru/images/cms/thumbs/9baf8e72777e274b01db5c4d5679c78f31983102/2224576da5d611e3908100155d0c1500_15afb40953e311ea842700155d0fcd01_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-810-vpn-2gsfp/
nnz-ipc.ru;Маршрутизатор EDR-G9010-VPN-2MGSFP;Промышленный маршрутизатор с 8 портами 10/100/1000BaseT(X), 2 слотами GbE SFP, Firewall/NAT/VPN, рабочая температура от -10 до 60°C;6138816;;;https://nnz-ipc.ru/images/cms/thumbs/b8129c7d0c08674a8d00c98c17473f40bbafdacc/f8fc23f0de5411ebb89e00155d50c111_6a47598ade5511ebb89e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9010-vpn-2mgsfp/
nnz-ipc.ru;Маршрутизатор EDR-G9010-VPN-2MGSFP-T;Промышленный маршрутизатор с 8 портами 10/100/1000BaseT(X), 2 слотами GbE SFP, Firewall/NAT/VPN, -40/75°C;6138819;;;https://nnz-ipc.ru/images/cms/thumbs/57ac75f57f4eb21e826e4bdd253c9beac47b7358/815220f6de5b11ebb89e00155d50c111_e954ec78de5b11ebb89e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9010-vpn-2mgsfp-t/
nnz-ipc.ru;Маршрутизатор EDR-G9010-VPN-2MGSFP-HV;Промышленный маршрутизатор с 8 портами 10/100/1000BaseT(X), 2 слотами GbE SFP, Firewall/NAT/VPN, рабочая температура от -10 до 60°C, питание 120/240 В пост./перем.;6145859;;;https://nnz-ipc.ru/images/cms/thumbs/d264c5fee8ca0e7f84d0863d10def7d54359a147/3dc9d9bc115f11edb8a100155d50c111_54de9051116211edb8a100155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9010-vpn-2mgsfp-hv/
nnz-ipc.ru;Маршрутизатор EDR-G9010-VPN-2MGSFP-HV-T;Промышленный маршрутизатор с 8 портами 10/100/1000BaseT(X), 2 слотами GbE SFP, Firewall/NAT/VPN, рабочая температура от -40 до 75°C, питание 120/240 В пост./перем.;6145860;;;https://nnz-ipc.ru/images/cms/thumbs/3c263db253c422165f35d6bf4f411410a4b25dd5/cb4c2e58116111edb8a100155d50c111_66f857ad116211edb8a100155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9010-vpn-2mgsfp-hv-t/
nnz-ipc.ru;Маршрутизатор EDR-8010-2GSFP;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT;6155655;;;https://nnz-ipc.ru/images/cms/thumbs/4d5ee6be13ed3f0e0e0b3eaa0980eb20d9626f40/f59532754c8011eeb91d00155d50c111_95c5a4c25d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-2gsfp/
nnz-ipc.ru;Маршрутизатор EDR-8010-2GSFP-CT;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT, с конформным покрытием;6155656;;;https://nnz-ipc.ru/images/cms/thumbs/a799730b72576dbc3d00bac06fff8b09a3101016/fd563d154c8511eeb91d00155d50c111_8d9ee03f5d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-2gsfp-ct/
nnz-ipc.ru;Маршрутизатор EDR-8010-2GSFP-CT-T;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT, с конформным покрытием и расширенным диапазонои температур;6155658;;;https://nnz-ipc.ru/images/cms/thumbs/8e8164d2c04e45bc07be907ee89079b9e327e61b/98174f0e4c8611eeb91d00155d50c111_8d9ee03e5d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-2gsfp-ct-t/
nnz-ipc.ru;Маршрутизатор EDR-8010-2GSFP-T;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT, с расширенным диапазоном температур;6155660;;;https://nnz-ipc.ru/images/cms/thumbs/745dbbfa33eb8bed409075bc6ad3aec6f195948f/4ab76f854c8711eeb91d00155d50c111_8645a0755d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-2gsfp-t/
nnz-ipc.ru;Маршрутизатор EDR-8010-VPN-2GSFP;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT/VPN;6155661;;;https://nnz-ipc.ru/images/cms/thumbs/736d5d1a7d9ebdac4b2137e184100165c3762290/08303cb44c8811eeb91d00155d50c111_8004e14b5d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-vpn-2gsfp/
nnz-ipc.ru;Маршрутизатор EDR-8010-VPN-2GSFP-CT;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT/VPN, с конформным покрытием;6155663;;;https://nnz-ipc.ru/images/cms/thumbs/cb4638689e7e9badc4dbc86edb9f38ee9afecb20/b068a8d84c8a11eeb91d00155d50c111_8004e1495d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-vpn-2gsfp-ct/
nnz-ipc.ru;Маршрутизатор EDR-8010-VPN-2GSFP-CT-T;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT/VPN, с конформным покрытием и расширенным диапазоном температур;6155664;;;https://nnz-ipc.ru/images/cms/thumbs/d72851d80683fb4f658cf84dc68b7bbb75c05a63/33b872f04c8c11eeb91d00155d50c111_77f29cf05d1411eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-vpn-2gsfp-ct-t/
nnz-ipc.ru;Маршрутизатор EDR-8010-VPN-2GSFP-T;Промышленный маршрутизатор 8 x 10/100BaseT(X) + 2 x 1000BaseSFP Ethernet, Firewall/NAT/VPN, с расширенным диапазоном температур;6155665;;;https://nnz-ipc.ru/images/cms/thumbs/96fc4fc247348203cc0ae104deffc95702d98df5/ca951e414c8c11eeb91d00155d50c111_78640a305d1211eeb91d00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-8010-vpn-2gsfp-t/
nnz-ipc.ru;Маршрутизатор EDR-G9004-VPN-2MGTXSFP;Промышленный маршрутизатор с 2 медными портами Gigabit Ethernet с функцией Bypass, 2 combo-портами, firewall/NAT/VPN, питание 12/24/48 пост., t: -10/60;6161380;;;https://nnz-ipc.ru/images/cms/thumbs/dc8fb8c98819a0514e6ba346905ae05d8a9e4d96/b4d46a73224511efb91e00155d50c111_f8b4e9d02f9011efb91e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9004-vpn-2mgtxsfp/
nnz-ipc.ru;Маршрутизатор EDR-G9004-VPN-2MGTXSFP-CT;Промышленный маршрутизатор с 2 медными портами Gigabit Ethernet с функцией Bypass, 2 combo-портами, firewall/NAT/VPN, питание 12/24/48 пост., t:-10/60, конформное покрытие;6161382;;;https://nnz-ipc.ru/images/cms/thumbs/26be9f178a3a6ef13489bfce004e35930074ac57/058a554d224a11efb91e00155d50c111_28ca63392f9111efb91e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9004-vpn-2mgtxsfp-ct/
nnz-ipc.ru;Маршрутизатор EDR-G9004-VPN-2MGTXSFP-CT-T;Промышленный маршрутизатор с 2 медными портами Gigabit Ethernet с функцией Bypass, 2 combo-портами, firewall/NAT/VPN, питание 12/24/48 пост., t: -40/75, конформное покрытие;6161383;;;https://nnz-ipc.ru/images/cms/thumbs/6cdaa7b87b783cc08989ae3af8fa2cd6734c51b5/71409a26224b11efb91e00155d50c111_331cd5692f9111efb91e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9004-vpn-2mgtxsfp-ct-t/
nnz-ipc.ru;Маршрутизатор EDR-G9004-VPN-2MGTXSFP-T;Промышленный маршрутизатор с 2 медными портами Gigabit Ethernet с функцией Bypass, 2 combo-портами, firewall/NAT/VPN, питание 12/24/48 пост., t: -40/75;6161384;;;https://nnz-ipc.ru/images/cms/thumbs/309e4061234c150ab0d0c0d1cefd8c8992b58cf0/a8618971224c11efb91e00155d50c111_3dad1e4d2f9111efb91e00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/routers/edr-g9004-vpn-2mgtxsfp-t/
