name;article;product_code;availability;image
DVP20EC00T3 - Промышленный контроллер PLC (ПЛК);DVP20EC00T3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP20EC00R3 - Промышленный контроллер PLC (ПЛК);DVP20EC00R3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP16EC00T3 - Промышленный контроллер PLC (ПЛК), 8DI/8DO;DVP16EC00T3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP16EC00R3 - Промышленный контроллер PLC (ПЛК), 8DI/8DO;DVP16EC00R3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP14EC00T3 - Промышленный контроллер PLC (ПЛК), 8DI/6DO;DVP14EC00T3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP14EC00R3 - Промышленный контроллер PLC (ПЛК), 8DI/6DO;DVP14EC00R3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP10EC00T3 - Промышленный контроллер PLC (ПЛК), 6DI/4DO;DVP10EC00T3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP10EC00R3 - Промышленный контроллер PLC (ПЛК), 6DI/4DO;DVP10EC00R3;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
UC-ET010-24D - Экранированный кабель 1 м с разъемами IDC 40p – 2х20p;UC-ET010-24D;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
UB-10-IO32D - Клеммный модуль встроенных каналов ввода/вывода для ЦПУ AS300;UB-10-IO32D;UB-10-IO32D;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
UB-10-ID16A - Клеммный модуль для ЦПУ AS300;UB-10-ID16A;;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AS00SCM-A - Локальный/удалённый модуль дополнительных портов RS232/485/422, RTU CANopen;AS00SCM-A;AS00SCM-A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AS01DNET-A - Модуль расширения DeviceNet;AS01DNET-A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AS04PU-A - Модуль позиционирования для ПЛК AS, 6 DI 24 VDC, 4 оси A/B 5-24 VDC 100 кГц;AS04PU-A;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
